"小程序开发,微信开发,小程序商城,H5开发制作,公众号开发",圣融科技有限公司,北京,4000,近半年成交：1488笔
企业定制网站企业小程序公众号企业app定制开发售后无忧,智企云科技有限公司,北京,2800,近半年成交：246笔
ui设计app设计网页设计软件界面设计小程序设计h5logo,佰上设计,北京,300,近半年成交：93笔
PC手机站小程序定制设计开发企业网站建设企业官网仿站模板建设,牧狼传媒,北京,3500,近半年成交：81笔
APP开发/原生app定制开发/商城/打车/交友/教育/跑腿,来客网络科技,北京,5800,近半年成交：57笔
微信开发/公众号开发/微商城/微分销/定制/运营【猫灵网络】,猫灵网络,北京,1999,近半年成交：49笔
成品APP|原生APP开发|iOS应用|安卓应用|APP定制,北京简智科技有限责任公司,北京,9000,近半年成交：45笔
企业个人手机模板建站微官网站建设定制作开发网页设计仿站商城,争流品牌策划,北京,600,近半年成交：22笔
APP开发|微信开发|网站定制|小程序开发|公众号|教育软件,悦商东方,北京,15000,近半年成交：20笔
网站设计/电商餐饮教育医疗地产物流旅游/网页UI设计解决方案,艺站库设计,北京,300,近半年成交：19笔
【物联网】软件开发/设备管理/云端大屏/GIS地图/统计报表,北京数字腾飞,北京,6888,近半年成交：6笔
